elexon_bmu_id,ng_bmu_id,bmu_name,rated_mw,rated_mwh,duration_ratio_h,mwh_source,lead_party,identification_method,active_2024_25
T_NURSB-1,NURSB-1,Nursling Battery Storage,48.0,,,MISSING,EDF Energy Customers Limited,name_keyword,True
E_BARNB-1,BARNB-1,Hunningley Stairfoot BESS,44.0,,,MISSING,EDF Energy Customers Limited,name_keyword,True
2__ASTAT003,AG-ASTK03,STAT_A4,42.0,,,MISSING,Statkraft Markets Gmbh,fuelType=OTHER,True
E_CUPAB-1,CUPAB-1,Coupar Battery Storage,41.314,,,MISSING,Octopus Energy Trading Limited,fuelType=OTHER,True
E_SHILB-1,SHILB-1,Shilton Lane BESS,40.0,,,MISSING,Octopus Energy Trading Limited,fuelType=OTHER,True
T_TEBWB-1,TEBWB-1,Tebworth BESS Power Park,39.9,,,MISSING,Arenko Cleantech Limited,name_keyword,True
2__FBPGM001,FBPG01,Wormald Green BESS,37.0,,,MISSING,BP Gas Marketing Limited,name_keyword,True
E_CONTB-1,CONTB-1,Contego Battery,35.8,,,MISSING,Tesla Motors Limited,name_keyword,True
E_POTES-1,POTES-1,Port of Tyne Energy Storage,35.0,,,MISSING,Arenko Cleantech Limited,name_keyword,True
E_ARBRB-1,ARBRB-1,Arbroath Battery Storage,34.511,,,MISSING,Octopus Energy Trading Limited,fuelType=OTHER,True
E_NTAWB-1,NTAWB-1,North Tawton BESS,32.0,,,MISSING,EDF Energy Customers Limited,name_keyword,False
T_WBURB-43,WBURB-43,West Burton B Battery,31.0,,,MISSING,West Burton B Limited,fuelType=OTHER,True
T_WBURB-41,WBURB-41,West Burton B Battery,31.0,,,MISSING,West Burton B Limited,fuelType=OTHER,True
E_JAMBB-1,JAMBB-1,Jamesfield 1 Battery Storage,30.0,,,MISSING,Tesla Motors Limited,fuelType=OTHER,True
T_PINFB-1,PINFB-1,T_PINFB-1,27.08,,,MISSING,Zenobe Capenhurst Limited,fuelType=OTHER,True
T_PINFB-3,PINFB-3,T_PINFB-3,26.0,,,MISSING,Zenobe Capenhurst Limited,fuelType=OTHER,True
T_PINFB-2,PINFB-2,T_PINFB-2,26.0,,,MISSING,Zenobe Capenhurst Limited,fuelType=OTHER,True
T_PINFB-4,PINFB-4,T_PINFB-4,26.0,,,MISSING,Zenobe Capenhurst Limited,fuelType=OTHER,True
E_WHTBB-1,WHTBB-1,Whitebirk BESS,25.0,,,MISSING,Field Whitebirk Ltd,name_keyword,False
